word,meaning,status,lessonNumber,tags,partOfSpeech,audioWordFilename,audioMeaningFilename,pinyin,source,notes,seenCount,correctCount,wrongCount,listenedSeconds,lastReviewedAt
三次,three times,known,85,existing known;clip-pack;LMS 1000,,audio/words/三次.mp3,audio/meanings/three-times.mp3,sān cì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
小羊,lamb; little sheep,known,85,existing known;clip-pack;LMS 1000,,audio/words/小羊.mp3,audio/meanings/lamb;-little-sheep.mp3,xiǎo yáng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
大节,major festival; important principle,known,85,existing known;clip-pack;LMS 1000,,audio/words/大节.mp3,audio/meanings/major-festival;-important-principle.mp3,dà jié,LMS 1000,Existing Known.txt entry.,0,0,0,0,
院子,courtyard; yard,known,86,existing known;clip-pack;LMS 1000,,audio/words/院子.mp3,audio/meanings/courtyard;-yard.mp3,yuàn zi,LMS 1000,Existing Known.txt entry.,0,0,0,0,
是不是,is it or not; whether,known,86,existing known;clip-pack;LMS 1000,,audio/words/是不是.mp3,audio/meanings/is-it-or-not;-whether.mp3,shì bu shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
病人,patient; sick person,known,86,general conversation;clip-pack;LMS 1000,,audio/words/病人.mp3,audio/meanings/patient;-sick-person.mp3,bìng rén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
分,to divide; minute,known,86,general conversation;clip-pack;LMS 1000,,audio/words/分.mp3,audio/meanings/to-divide;-minute.mp3,fēn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
什么时候,when,known,86,existing known;clip-pack;LMS 1000,,audio/words/什么时候.mp3,audio/meanings/when.mp3,shén me shí hòu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
色,color; appearance,known,87,existing known;clip-pack;LMS 1000,,audio/words/色.mp3,audio/meanings/color;-appearance.mp3,sè,LMS 1000,Existing Known.txt entry.,0,0,0,0,
差不多,approximately; nearly,known,87,general conversation;clip-pack;LMS 1000,,audio/words/差不多.mp3,audio/meanings/approximately;-nearly.mp3,chà bù duō,LMS 1000,Existing Known.txt entry.,0,0,0,0,
山上,on the mountain,known,87,existing known;clip-pack;LMS 1000,,audio/words/山上.mp3,audio/meanings/on-the-mountain.mp3,shān shàng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
全世界,worldwide; global,known,87,general conversation;clip-pack;LMS 1000,,audio/words/全世界.mp3,audio/meanings/worldwide;-global.mp3,quán shì jiè,LMS 1000,Existing Known.txt entry.,0,0,0,0,
流出,to flow out,known,87,existing known;clip-pack;LMS 1000,,audio/words/流出.mp3,audio/meanings/to-flow-out.mp3,liú chū,LMS 1000,Existing Known.txt entry.,0,0,0,0,
第二次,second time,known,88,existing known;clip-pack;LMS 1000,,audio/words/第二次.mp3,audio/meanings/second-time.mp3,dì èr cì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
擦,to rub,known,88,general conversation;clip-pack;LMS 1000,,audio/words/擦.mp3,audio/meanings/to-rub.mp3,cā,LMS 1000,Existing Known.txt entry.,0,0,0,0,
想见,to want to see,known,88,existing known;clip-pack;LMS 1000,,audio/words/想见.mp3,audio/meanings/to-want-to-see.mp3,xiǎng jiàn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
驴,donkey,known,88,existing known;clip-pack;LMS 1000,,audio/words/驴.mp3,audio/meanings/donkey.mp3,lǘ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
十五,fifteen,known,88,existing known;clip-pack;LMS 1000,,audio/words/十五.mp3,audio/meanings/fifteen.mp3,shí wǔ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
十七,seventeen,known,89,existing known;clip-pack;LMS 1000,,audio/words/十七.mp3,audio/meanings/seventeen.mp3,shí qī,LMS 1000,Existing Known.txt entry.,0,0,0,0,
十九,nineteen,known,89,existing known;clip-pack;LMS 1000,,audio/words/十九.mp3,audio/meanings/nineteen.mp3,shí jiǔ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
石,stone; rock,known,89,existing known;clip-pack;LMS 1000,,audio/words/石.mp3,audio/meanings/stone;-rock.mp3,shí,LMS 1000,Existing Known.txt entry.,0,0,0,0,
在后,behind; afterward,known,89,existing known;clip-pack;LMS 1000,,audio/words/在后.mp3,audio/meanings/behind;-afterward.mp3,zài hòu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
关掉,turn off; shut down,known,89,general conversation;clip-pack;LMS 1000,,audio/words/关掉.mp3,audio/meanings/turn-off;-shut-down.mp3,guān diào,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不太好,not very good,known,90,existing known;clip-pack;LMS 1000,,audio/words/不太好.mp3,audio/meanings/not-very-good.mp3,bú tài hǎo,LMS 1000,Existing Known.txt entry.,0,0,0,0,
买卖,buying and selling; business,known,90,existing known;clip-pack;LMS 1000,,audio/words/买卖.mp3,audio/meanings/buying-and-selling;-business.mp3,mǎi mài,LMS 1000,Existing Known.txt entry.,0,0,0,0,
再生,rebirth; to regenerate,known,90,existing known;clip-pack;LMS 1000,,audio/words/再生.mp3,audio/meanings/rebirth;-to-regenerate.mp3,zài shēng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
买东西,to buy things; to go shopping,known,90,existing known;clip-pack;LMS 1000,,audio/words/买东西.mp3,audio/meanings/to-buy-things;-to-go-shopping.mp3,mǎi dōng xī,LMS 1000,Existing Known.txt entry.,0,0,0,0,
流,flow; stream,known,90,general conversation;clip-pack;LMS 1000,,audio/words/流.mp3,audio/meanings/flow;-stream.mp3,liú,LMS 1000,Existing Known.txt entry.,0,0,0,0,
工钱,wages; pay,known,91,existing known;clip-pack;LMS 1000,,audio/words/工钱.mp3,audio/meanings/wages;-pay.mp3,gōng qián,LMS 1000,Existing Known.txt entry.,0,0,0,0,
人马,team; troops,known,91,existing known;clip-pack;LMS 1000,,audio/words/人马.mp3,audio/meanings/team;-troops.mp3,rén mǎ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
全,all; whole,known,91,general conversation;clip-pack;LMS 1000,,audio/words/全.mp3,audio/meanings/all;-whole.mp3,quán,LMS 1000,Existing Known.txt entry.,0,0,0,0,
这位,this person; this one,known,91,existing known;clip-pack;LMS 1000,,audio/words/这位.mp3,audio/meanings/this-person;-this-one.mp3,zhè wèi,LMS 1000,Existing Known.txt entry.,0,0,0,0,
节,festival; season,known,91,general conversation;clip-pack;LMS 1000,,audio/words/节.mp3,audio/meanings/festival;-season.mp3,jié,LMS 1000,Existing Known.txt entry.,0,0,0,0,
间,between; room,known,92,general conversation;clip-pack;LMS 1000,,audio/words/间.mp3,audio/meanings/between;-room.mp3,jiān,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不了,unable to; cannot,known,92,existing known;clip-pack;LMS 1000,,audio/words/不了.mp3,audio/meanings/unable-to;-cannot.mp3,bù liǎo,LMS 1000,Existing Known.txt entry.,0,0,0,0,
医,medicine; medical,known,92,existing known;clip-pack;LMS 1000,,audio/words/医.mp3,audio/meanings/medicine;-medical.mp3,yī,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不可以,cannot; not allowed,known,92,existing known;clip-pack;LMS 1000,,audio/words/不可以.mp3,audio/meanings/cannot;-not-allowed.mp3,bù kě yǐ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
管理,to administer,known,92,general conversation;clip-pack;LMS 1000,,audio/words/管理.mp3,audio/meanings/to-administer.mp3,guǎn lǐ,LMS 1000,Existing Known.txt entry.,0,0,0,0,
真神,true god,known,93,existing known;clip-pack;LMS 1000,,audio/words/真神.mp3,audio/meanings/true-god.mp3,zhēn shén,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一说,once said; as soon as it is said,known,93,existing known;clip-pack;LMS 1000,,audio/words/一说.mp3,audio/meanings/once-said;-as-soon-as-it-is-said.mp3,yī shuō,LMS 1000,Existing Known.txt entry.,0,0,0,0,
拔,to pull out; to extract,known,93,existing known;clip-pack;LMS 1000,,audio/words/拔.mp3,audio/meanings/to-pull-out;-to-extract.mp3,bá,LMS 1000,Existing Known.txt entry.,0,0,0,0,
门外,outside the door,known,93,existing known;clip-pack;LMS 1000,,audio/words/门外.mp3,audio/meanings/outside-the-door.mp3,mén wài,LMS 1000,Existing Known.txt entry.,0,0,0,0,
要不是,if it were not for,known,93,existing known;clip-pack;LMS 1000,,audio/words/要不是.mp3,audio/meanings/if-it-were-not-for.mp3,yào bú shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
离岸,offshore; away from shore,known,94,existing known;clip-pack;LMS 1000,,audio/words/离岸.mp3,audio/meanings/offshore;-away-from-shore.mp3,lí àn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
万,ten thousand,known,94,general conversation;clip-pack;LMS 1000,,audio/words/万.mp3,audio/meanings/ten-thousand.mp3,wàn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
和,harmony; peace,known,94,general conversation;clip-pack;LMS 1000,,audio/words/和.mp3,audio/meanings/harmony;-peace.mp3,hé,LMS 1000,Existing Known.txt entry.,0,0,0,0,
还是,or; still,known,94,narrative glue;clip-pack;LMS 1000,,audio/words/还是.mp3,audio/meanings/or;-still.mp3,hái shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
就,then; just,known,94,general conversation;clip-pack;LMS 1000,,audio/words/就.mp3,audio/meanings/then;-just.mp3,jiù,LMS 1000,Existing Known.txt entry.,0,0,0,0,
都,all; both,known,95,general conversation;clip-pack;LMS 1000,,audio/words/都.mp3,audio/meanings/all;-both.mp3,dōu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
可是,but; others,known,95,narrative glue;clip-pack;LMS 1000,,audio/words/可是.mp3,audio/meanings/but;-others.mp3,kě shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
没有,don't have; there isn't,known,95,general conversation;clip-pack;LMS 1000,,audio/words/没有.mp3,audio/meanings/don't-have;-there-isn't.mp3,méi yǒu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
不能,cannot; must not,known,95,general conversation;clip-pack;LMS 1000,,audio/words/不能.mp3,audio/meanings/cannot;-must-not.mp3,bù néng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
时候,time,known,95,narrative glue;clip-pack;LMS 1000,,audio/words/时候.mp3,audio/meanings/time.mp3,shí hòu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
一直,always; all along,known,96,general conversation;clip-pack;LMS 1000,,audio/words/一直.mp3,audio/meanings/always;-all-along.mp3,yì zhí,LMS 1000,Existing Known.txt entry.,0,0,0,0,
总是,always,known,96,general conversation;clip-pack;LMS 1000,,audio/words/总是.mp3,audio/meanings/always.mp3,zǒng shì,LMS 1000,Existing Known.txt entry.,0,0,0,0,
常常,often,known,96,existing known;clip-pack;LMS 1000,,audio/words/常常.mp3,audio/meanings/often.mp3,cháng cháng,LMS 1000,Existing Known.txt entry.,0,0,0,0,
慢慢,slowly; gradually,known,96,general conversation;clip-pack;LMS 1000,,audio/words/慢慢.mp3,audio/meanings/slowly;-gradually.mp3,màn màn,LMS 1000,Existing Known.txt entry.,0,0,0,0,
快,fast; quick,known,96,general conversation;clip-pack;LMS 1000,,audio/words/快.mp3,audio/meanings/fast;-quick.mp3,kuài,LMS 1000,Existing Known.txt entry.,0,0,0,0,
之后,after; afterwards,known,97,narrative glue;clip-pack;LMS 1000,,audio/words/之后.mp3,audio/meanings/after;-afterwards.mp3,zhī hòu,LMS 1000,Existing Known.txt entry.,0,0,0,0,
谁,who,known,97,general conversation;clip-pack;LMS 1000,,audio/words/谁.mp3,audio/meanings/who.mp3,shuí,LMS 1000,Existing Known.txt entry.,0,0,0,0,
哪个,Which one / What one / Which; quéshù is Quantity,known,97,general conversation;clip-pack;LMS 1000,,audio/words/哪个.mp3,audio/meanings/Which-one---What-one---Which;-quéshù-is-Quantity.mp3,nǎ gè,LMS 1000,Existing Known.txt entry.,0,0,0,0,
